Unnamed: 0,Property Name,Price,House Type,Area in sq ft,No. of Bedrooms,No. of Bathrooms,No. of Receptions,Location,City/County,Postal Code,OS compliant Postcode,Admin_county_code,Admin_district_code,Admin_ward_code
368,Turnstone House,1280000,Flat / Apartment,1169,2,2,2,Star Place,London,E1W 1AE,E1W 1AE,,Tower Hamlets London Boro,St. Katharine's & Wapping Ward
369,St. Marys Grove,1425000,House,2028,4,4,4, Chiswick,London,W4 3LL,W4  3LL,,Hounslow London Boro,Chiswick Riverside Ward
370,Stanton Road,1795000,House,1720,4,4,4,Barnes,London,SW13 0EX,SW130EX,,Richmond upon Thames London Boro,Mortlake and Barnes Common Ward
371,Afghan Road,1125000,House,1423,4,4,4,Battersea,London,SW11 2QD,SW112QD,,Wandsworth London Boro,Latchmere Ward
372,Old Chesterton Building,945000,Flat / Apartment,1001,2,2,2,110 Battersea Park Road,London,SW11 4LZ,SW114LZ,,Wandsworth London Boro,Queenstown Ward
373,Kersley Street,3150000,House,2809,5,5,5,Battersea,London,SW11 4PR,SW114PR,,Wandsworth London Boro,St. Mary's Park Ward
374,Grosvenor Avenue,699950,Flat / Apartment,920,2,2,2,Highbury,London,N5 2NP,EN5 2NP,,Barnet London Boro,Underhill Ward
375,Speldhurst Road,1275000,House,1420,4,4,4,Chiswick,London,W4 1BY,NW4 1BY,,Barnet London Boro,Hendon Ward
376,Lamont Road,3750000,House,2428,3,3,3,,London,SW10 0HX,SW100HX,,Kensington and Chelsea London Boro,Stanley Ward
377,Mortimer Court,460000,Flat / Apartment,431,1,1,1,Abbey Road,London,NW8 9AB,NW8 9AB,,City of Westminster London Boro,Abbey Road Ward
378,Cavendish Avenue,6795000,House,4637,6,6,6,St John's Wood,London,NW8 9JE,NW8 9JE,,City of Westminster London Boro,Regent's Park Ward
379,Bangalore Street,1695000,House,2096,4,4,4,Putney,London,SW15 1QD,SW151QD,,Wandsworth London Boro,Thamesfield Ward
380,Hilltop,1050000,House,2254,5,5,5,Loughton,Essex,IG10 1PX,IG101PX,Essex County,Epping Forest District,Loughton St. John's Ward
381,Egerton Crescent,15950000,House,4090,4,4,4,,London,SW3 2ED,SW3 2ED,,Kensington and Chelsea London Boro,Brompton & Hans Town Ward
382,Cruikshank Street,900000,Flat / Apartment,769,2,2,2,Grays Inn,London,WC1X 9HF,WC1X9HF,,Islington London Boro,Clerkenwell Ward
383,Gledhow Gardens,6950000,Flat / Apartment,3001,4,4,4,,London,SW5 0AY,SW5 0AY,,Kensington and Chelsea London Boro,Redcliffe Ward
384,Elm Bank Mansions,1200000,Flat / Apartment,1155,3,3,3, Barnes,London,SW13 0NS,SW130NS,,Richmond upon Thames London Boro,Mortlake and Barnes Common Ward
385,Coleraine Road,399995,Flat / Apartment,990,3,3,3,,Blackheath,SE3 7PE,SE3 7PE,,Greenwich London Boro,Blackheath Westcombe Ward
386,Queen Anne Road,1100000,House,1607,4,4,4,South Hackney,London,E9 7AH,E9  7AH,,Hackney London Boro,Hackney Wick Ward
387,Paintworks,650000,New development,646,2,2,2,Kingsland Road,London,E2 8AG,E2  8AG,,Hackney London Boro,Hoxton East & Shoreditch Ward
388,West Temple Sheen,2950000,House,3716,5,5,5,East Sheen,London,SW14 7AP,SW147AP,,Richmond upon Thames London Boro,East Sheen Ward
389,Rowditch Lane,600000,House,953,3,3,3,,London,SW11 5BX,SW115BX,,Wandsworth London Boro,Latchmere Ward
390,Holmead Road,2450000,House,2313,4,4,4, Fulham,London,SW6 2JE,SW6 2JE,,Hammersmith and Fulham London Boro,Parsons Green and Walham Ward
391,Huguenot Place,775000,Flat / Apartment,939,2,2,2,,London,SW18 2EN,S18 2EN,Derbyshire County,North East Derbyshire District,Coal Aston Ward
392,Addison House,625000,Flat / Apartment,652,2,2,2, St John's Wood,London,NW8 9EL,NW8 9EL,,City of Westminster London Boro,Regent's Park Ward
393,Cumberland Terrace Mews,295000,Studio,344,0,0,0,Regent's Park,London,NW1 4HR,NW1 4HR,,Camden London Boro,Regent's Park Ward
394,St. Johns Wood Terrace,2350000,House,1519,4,4,4,St John's Wood,London,NW8 6JJ,NW8 6JJ,,City of Westminster London Boro,Regent's Park Ward
395,Wimbolt Street,1999995,House,1935,5,5,5,Shoreditch,London,E2 7BX,E2  7BX,,Tower Hamlets London Boro,Weavers Ward
396,Belgrave Mews North,2250000,House,1299,3,3,3,,London,SW1X 8RS,SW1X8RS,,City of Westminster London Boro,Knightsbridge and Belgravia Ward
397,Church Road,550000,Flat / Apartment,582,2,2,2,Richmond,Surrey,TW9 1UA,TW9 1UA,,Richmond upon Thames London Boro,South Richmond Ward
398,St. Augustines Road,499000,Flat / Apartment,451,1,1,1,Camden,London,NW1 9RN,NW1 9RN,,Camden London Boro,Cantelowes Ward
399,St. John's Hill,850000,Flat / Apartment,1339,3,3,3,,London,SW11 1TH,SW111TH,,Wandsworth London Boro,Fairfield Ward
400,Regents Drive,950000,House,1857,4,4,4,Woodford Green,Essex,IG8 8RZ,IG8 8RZ,,Redbridge London Boro,Bridge Ward
401,Piercing Hill,799999,House,1507,4,4,4, Epping,Essex,CM16 7JN,CM167JN,Essex County,Epping Forest District,Theydon Bois Ward
402,Bourne Street,2500000,House,1340,3,3,3,,London,SW1W 8JR,SW1W8JR,,City of Westminster London Boro,Knightsbridge and Belgravia Ward
403,Eaton Terrace,6450000,House,3336,5,5,5,Belgravia,London,SW1W 8EZ,SW1W8EZ,,Kensington and Chelsea London Boro,Royal Hospital Ward
404,Palace Court,2250000,Penthouse,1765,2,2,2,,London,W2 4HU,NW2 4HU,,Brent London Boro,Mapesbury Ward
405,Iverna Gardens,2500000,Flat / Apartment,1752,3,3,3,,London,W8 6TW,W8  6TW,,Kensington and Chelsea London Boro,Abingdon Ward
406,City North East Tower,475000,New development,560,1,1,1,3 City North Place,London,N4 3FQ,N4  3FQ,,Islington London Boro,Finsbury Park Ward
407,ICON7,560000,New development,657,2,2,2, Holloway,London,N7 0JN,N17 0JN,,Haringey London Boro,Northumberland Park Ward
408,ICON7,610000,New development,758,2,2,2, Holloway,London,N7 0JN,N17 0JN,,Haringey London Boro,Northumberland Park Ward
409,ICON7,600000,New development,758,2,2,2, Holloway,London,N7 0JN,N17 0JN,,Haringey London Boro,Northumberland Park Ward
410,Octavia House,615000,Flat / Apartment,797,1,1,1,Imperial Wharf,Fulham,SW6 2FH,SW6 2FH,,Hammersmith and Fulham London Boro,Sands End Ward
411,Gloucester House,625000,Flat / Apartment,960,2,2,2, Sheen Road,Richmond,TW10 5BB,TW105BB,,Richmond upon Thames London Boro,South Richmond Ward
412,Entwistle Terrace,600000,Flat / Apartment,658,1,1,1,St. Peters Square,London,W6 9AW,CW6 9AW,,Cheshire West and Chester (B),Tarporley Ward
413,Rutherford House,650000,Flat / Apartment,848,2,2,2, Battersea,London,SW11 4BT,SW114BT,,Wandsworth London Boro,Latchmere Ward
414,Evelyn Road,1285000,House,1476,3,3,3,Richmond,Surrey,TW9 2TF,TW9 2TF,,Richmond upon Thames London Boro,North Richmond Ward
415,Oakford Road,1795000,House,1824,5,5,5,Kentish Town,London,NW5 1AJ,NW5 1AJ,,Camden London Boro,Kentish Town Ward
416,Walham Grove,825000,Flat / Apartment,843,2,2,2,Fulham,London,SW6 1QR,SW6 1QR,,Hammersmith and Fulham London Boro,Fulham Broadway Ward
417,Killieser Avenue,2350000,House,3180,6,6,6,,London,SW2 4NX,SW2 4NX,,Lambeth London Boro,Streatham Hill Ward
418,Underwood Street,2350000,Flat / Apartment,2577,3,3,3,Old Street,London,N1 7LG,N1  7LG,,Hackney London Boro,Hoxton West Ward
419,Emperors Gate,2500000,Flat / Apartment,1498,2,2,2,,London,SW7 4JA,SW7 4JA,,Kensington and Chelsea London Boro,Queen's Gate Ward
420,Stapleton Road,675000,Flat / Apartment,946,3,3,3,,London,SW17 8AY,SW178AY,,Wandsworth London Boro,Bedford Ward
421,Stokesheath Road,4650000,House,7996,6,6,6,Oxshott,Surrey,KT22 0PN,KT220PN,Surrey County,Elmbridge District (B),Oxshott & Stoke D'Abernon Ward
422,Tile Kiln Lane,1695000,House,6356,6,6,6, Uxbridge,Middlesex,UB9 6LU,UB9 6LU,,Hillingdon London Boro,Harefield Ward
423,Old Town,1050000,Flat / Apartment,976,2,2,2,,The Metal Works,SW4 0JT,SW4 0JT,,Lambeth London Boro,Clapham Town Ward
424,Atina Court,1200000,Flat / Apartment,932,2,2,2, Belsize Park,London,NW3 4UR,NW3 4UR,,Camden London Boro,Belsize Ward
425,Fulham Palace Road,625000,Flat / Apartment,663,2,2,2,,London,SW6 6TA,SW6 6TA,,Hammersmith and Fulham London Boro,Munster Ward
426,Cottimore Avenue,649950,House,1378,4,4,4,Walton-on-Thames,Surrey,KT12 2AE,KT1 2AE,,Kingston upon Thames London Boro,Grove Ward
427,Voltaire Buildings,450000,Flat / Apartment,600,2,2,2,330 Garratt Lane,London,SW18 4FR,SW184FR,,Wandsworth London Boro,Earlsfield Ward
428,Chipstead Street,3450000,House,3070,5,5,5,Fulham,London,SW6 3SR,SW6 3SR,,Hammersmith and Fulham London Boro,Parsons Green and Walham Ward
429,Cambridge Street,995000,Flat / Apartment,908,2,2,2,Pimlico,London,SW1V 4QE,SW1V4QE,,City of Westminster London Boro,Warwick Ward
430,Arthur Road,795000,Flat / Apartment,1536,3,3,3,Wimbledon,London,SW19 7DN,SW197DN,,Merton London Boro,Wimbledon Park Ward
431,Cromwell Road,1775000,House,2336,5,5,5,Wimbledon,London,SW19 8LF,SW198LF,,Merton London Boro,Wimbledon Park Ward
432,Burwood Park Road,1295000,House,2371,5,5,5, Walton-on-Thames,Surrey,KT12 5LJ,KT125LJ,Surrey County,Elmbridge District (B),Hersham Village Ward
433,Forge Lane,975000,House,1201,3,3,3,Richmond,Surrey,TW10 7BF,TW107BF,,Richmond upon Thames London Boro,"Ham, Petersham and Richmond Riverside Ward"
434,High Oaks Close,1100000,House,3185,5,5,5,Coulsdon,Surrey,CR5 3EZ,CR5 3EZ,,Croydon London Boro,Coulsdon Town Ward
435,Roskell Road,549950,Flat / Apartment,730,1,1,1,Putney,London,SW15 1DS,SW151DS,,Wandsworth London Boro,Thamesfield Ward
436,Cautley Avenue,295000,Studio,277,0,0,0,,London,SW4 9HU,SW4 9HU,,Lambeth London Boro,Clapham Common Ward
437,Clarendon Gardens,2600000,Flat / Apartment,1779,3,3,3,Little Venice,London,W9 1AZ,SW9 1AZ,,Lambeth London Boro,Ferndale Ward
438,Turpins Lane,700000,House,1441,4,4,4,Woodford Green,Essex,IG8 8AZ,IG8 8AZ,Essex County,Epping Forest District,Chigwell Village Ward
439,Pavilion Road,3950000,House,1917,1,1,1,Knightsbridge,London,SW1X 0AX,SW1X0AX,,Kensington and Chelsea London Boro,Brompton & Hans Town Ward
440,Islington,1500000,House,1666,3,3,3,,London,N7 8LS,N17 8LS,,Haringey London Boro,White Hart Lane Ward
441,Elwood Street,1350000,House,1629,4,4,4,Highbury,London,N5 1EH,EN5 1EH,,Barnet London Boro,Oakleigh Ward
442,Northchurch Road,900000,Flat / Apartment,1069,2,2,2,,London,N1 3NU,EN1 3NU,,Enfield London Boro,Town Ward
443,Ellington Street,2750000,House,2500,5,5,5,Islington,London,N7 8PN,N7  8PN,,Islington London Boro,St. Mary's Ward
444,Tollington Way,699500,New development,990,2,2,2, London,N7 6QX,N7 6RG,DN7 6RG,,Doncaster District (B),Hatfield Ward
445,Well Walk,799950,Flat / Apartment,770,2,2,2,Hampstead,London,NW3 1LD,NW3 1LD,,Camden London Boro,Hampstead Town Ward
446,Irene Road,2895000,House,2730,5,5,5, Fulham,London,SW6 4AL,SW6 4AL,,Hammersmith and Fulham London Boro,Parsons Green and Walham Ward
447,Melbourne Mansions,799950,Flat / Apartment,940,3,3,3,Queens Club Gardens,London,W14 9SF,W14 9SF,,Hammersmith and Fulham London Boro,North End Ward
448,Wandsworth Bridge Road,2250000,House,2949,6,6,6,Fulham,London,SW6 2TB,SW6 2TB,,Hammersmith and Fulham London Boro,Parsons Green and Walham Ward
449,Trystings Close,1125000,House,2495,5,5,5, Esher,Surrey,KT10 0TF,KT100TF,Surrey County,Elmbridge District (B),Claygate Ward
450,Lillie Square East,2020000,New development,1262,3,3,3, Earls Court,London,SW6 1UE,SW6 1UE,,Hammersmith and Fulham London Boro,Fulham Broadway Ward
451,Graveney Road,975000,House,1308,4,4,4,Tooting,London,SW17 0EG,SW170EG,,Wandsworth London Boro,Tooting Ward
452,Louisville Road,1595000,House,2790,6,6,6,,London,SW17 8RN,SW178RN,,Wandsworth London Boro,Bedford Ward
453,Merino Court,850000,Flat / Apartment,978,3,3,3, Clerkenwell,London,EC1V 8BG,EC1V8BG,,Islington London Boro,Bunhill Ward
454,Westville Road,570000,Flat / Apartment,682,2,2,2,,London,W12 9BD,W12 9BD,,Hammersmith and Fulham London Boro,Askew Ward
455,North Road,2400000,House,2411,4,4,4,Highgate,London,N6 4AA,EN6 4AA,Hertfordshire County,Welwyn Hatfield District (B),Northaw & Cuffley Ward
456,Jubilee Court,475000,Flat / Apartment,496,1,1,1, Greenwich,London,SE10 9FJ,E10 9FJ,,Waltham Forest London Boro,Leyton Ward
457,Onslow Road,800000,Flat / Apartment,734,2,2,2,Richmond,Surrey,TW10 6QH,TW106QH,,Richmond upon Thames London Boro,South Richmond Ward
458,Old Oak Avenue,950000,House,3006,5,5,5, Coulsdon,Surrey,CR5 3PG,CR5 3PG,Surrey County,Reigate and Banstead District (B),"Chipstead, Kingswood & Woodmansterne Ward"
459,Roehampton High Street,1200000,House,1934,4,4,4,Putney,London,SW15 4HH,SW154HH,,Wandsworth London Boro,Roehampton and Putney Heath Ward
460,Arthur Road,3250000,House,4370,6,6,6,Wimbledon,London,SW19 7DP,SW197DP,,Merton London Boro,Wimbledon Park Ward
461,Gibson Square,2375000,House,2153,3,3,3,Islington,London,N1 0RD,N1  0RD,,Islington London Boro,St. Mary's Ward
462,Eamont Court,650000,Flat / Apartment,595,2,2,2,Shannon Place,London,NW8 7DN,NW8 7DN,,City of Westminster London Boro,Regent's Park Ward
463,Disraeli Road,1295000,House,876,4,4,4,Putney,London,SW15 2DS,SW152DS,,Wandsworth London Boro,Thamesfield Ward
464,Quill Lane,1000000,House,905,2,2,2,Putney,London,SW15 1PD,SW151PD,,Wandsworth London Boro,Thamesfield Ward
465,York Mansions,1885000,Flat / Apartment,1675,4,4,4,Prince of Wales Drive,London,SW11 4DL,SW114DL,,Wandsworth London Boro,Queenstown Ward
466,Thornton Hill,635000,Flat / Apartment,797,2,2,2,,London,SW19 4HS,SW194HS,,Merton London Boro,Hillside Ward
467,Montem Terrace,3495000,New development,4420,6,6,6, Wimbledon,London,SW20 8TG,SW208TG,,Merton London Boro,Raynes Park Ward
468,Ballantine Street,1200000,House,1378,3,3,3, Wandsworth,London,SW18 1AL,SW181AL,,Wandsworth London Boro,Fairfield Ward
469,Freshford Street,1200000,House,1751,4,4,4, Wandsworth,London,SW18 3TF,SW183TF,,Wandsworth London Boro,Earlsfield Ward
470,Swanage Road,1600000,House,2330,5,5,5,Wandsworth,London,SW18 2DZ,SW182DZ,,Wandsworth London Boro,Wandsworth Common Ward
471,Arlesey Close,799000,House,1214,3,3,3,Putney,London,SW15 2EX,SW152EX,,Wandsworth London Boro,East Putney Ward
472,Disraeli Road,850000,Flat / Apartment,876,2,2,2,Putney,London,SW15 2DZ,SW152DZ,,Wandsworth London Boro,Thamesfield Ward
473,Chestnut Court,500000,Flat / Apartment,872,2,2,2, Northwood,Middlesex,HA6 3NL,HA6 3NL,,Hillingdon London Boro,Northwood Ward
474,Montagu Mews North,2500000,House,1323,3,3,3,Marylebone,London,W1H 2JR,W1H 2JR,,City of Westminster London Boro,Bryanston and Dorset Square Ward
475,Albion Street,3950000,House,2547,4,4,4,Hyde Park,London,W2 2AS,SW2 2AS,,Lambeth London Boro,Tulse Hill Ward
476,Eaton Row,2995000,House,1393,3,3,3,,London,SW1W 0JA,SW1W0JA,,City of Westminster London Boro,Knightsbridge and Belgravia Ward
477,Redcliffe Gardens,995000,Flat / Apartment,888,1,1,1,,London,SW10 9JJ,SW109JJ,,Kensington and Chelsea London Boro,Redcliffe Ward
478,Gerrard Road,2250000,House,1857,4,4,4,,London,N1 8BA,BN1 8BA,,The City of Brighton and Hove (B),Patcham Ward
479,New North Road,749950,Flat / Apartment,855,2,2,2,,London,N1 6JB,BN1 6JB,,The City of Brighton and Hove (B),Preston Park Ward
480,ICON7,420000,New development,538,1,1,1, Holloway,London,N7 0JN,N17 0JN,,Haringey London Boro,Northumberland Park Ward
481,Richmond Road,424995,Flat / Apartment,422,1,1,1,Hackney,London,E8 3AA,E8  3AA,,Hackney London Boro,London Fields Ward
482,The Pryors,2150000,Flat / Apartment,2074,4,4,4,East Heath Road,London,NW3 1BP,NW3 1BP,,Camden London Boro,Hampstead Town Ward
483,Bishops Road,1500000,House,1645,3,3,3,Fulham,London,SW6 7AB,SW6 7AB,,Hammersmith and Fulham London Boro,Fulham Broadway Ward
484,Gosberton Road,1575000,House,2115,4,4,4,,London,SW12 8LQ,SW128LQ,,Wandsworth London Boro,Nightingale Ward
485,Hearnville Road,1500000,House,2242,5,5,5,,London,SW12 8RR,SW128RR,,Wandsworth London Boro,Nightingale Ward
486,Discovery Dock Apartments West,550000,Flat / Apartment,600,1,1,1, Canary Wharf,London,E14 9RT,E14 9RT,,Tower Hamlets London Boro,Canary Wharf Ward
487,Wilmington Square,475000,Flat / Apartment,381,1,1,1,Clerkenwell,London,WC1X 0EG,WC1X0EG,,Islington London Boro,Clerkenwell Ward
488,Nevill Court,595000,Flat / Apartment,791,2,2,2,Edith Terrace,London,SW10 0TL,SW100TL,,Kensington and Chelsea London Boro,Stanley Ward
489,Ferry Road,2250000,House,2937,6,6,6,Barnes,London,SW13 9PR,SW139PR,,Richmond upon Thames London Boro,Barnes Ward
490,Waldemar Avenue,755000,Flat / Apartment,907,3,3,3,,London,SW6 5LN,SW6 5LN,,Hammersmith and Fulham London Boro,Munster Ward
491,Battersea Church Road,900000,Flat / Apartment,1218,3,3,3,Battersea,London,SW11 3ND,SW113ND,,Wandsworth London Boro,St. Mary's Park Ward
492,Buckingham Gate,1990000,Flat / Apartment,1560,2,2,2,St. James's,London,SW1E 6LB,SW1E6LB,,City of Westminster London Boro,St. James's Ward
493,South Park Road,1195000,House,1464,3,3,3,Wimbledon,London,SW19 8SZ,SW198SZ,,Merton London Boro,Trinity Ward
494,Garratt Lane,450000,Flat / Apartment,696,2,2,2,,London,SW18 4EE,SW184EE,,Wandsworth London Boro,Earlsfield Ward
495,Cadogan Terrace,325000,Flat / Apartment,339,1,1,1,Victoria Park,London,E9 5HP,E9  5HP,,Tower Hamlets London Boro,Bow East Ward
496,Hassett Road,1150000,House,1541,4,4,4,,London,E9 5SL,E9  5SL,,Hackney London Boro,Hackney Wick Ward
497,Sterling House,850000,Flat / Apartment,1456,2,2,2, Putney,London,SW15 6AR,SW156AR,,Wandsworth London Boro,East Putney Ward
498,Boatman's Court,879000,New development,1004,2,2,2, Putney,London,SW15 1PP,SW151PP,,Wandsworth London Boro,Thamesfield Ward
499,Comyn Road,1295000,House,1875,5,5,5,,London,SW11 1QB,SW111QB,,Wandsworth London Boro,Northcote Ward
500,Hightrees House,575000,Flat / Apartment,695,2,2,2,Nightingale Lane,London,SW12 8AH,SW128AH,,Wandsworth London Boro,Balham Ward
501,Green Street,4100000,Flat / Apartment,1496,2,2,2,Mayfair,London,W1K 6RG,W1K 6RG,,City of Westminster London Boro,West End Ward
502,Morton Road,1800000,House,1919,3,3,3,Islington,London,N1 3BD,BN1 3BD,,The City of Brighton and Hove (B),Regency Ward
503,Highbury Gardens,649950,Flat / Apartment,804,2,2,2,52 Holloway Road,London,N7 8BW,N17 8BW,,Haringey London Boro,Northumberland Park Ward
504,Crediton Hill,899950,Flat / Apartment,1143,2,2,2,West Hampstead,London,NW6 1HR,NW6 1HR,,Camden London Boro,West Hampstead Ward
505,Moore Park Road,1999950,New development,1848,3,3,3,,London,SW6 4PS,SW6 4PS,,Hammersmith and Fulham London Boro,Parsons Green and Walham Ward
506,Southborough Road,1995000,New development,3510,5,5,5,Surbiton,Surrey,KT6 6JN,KT6 6JN,,Kingston upon Thames London Boro,Surbiton Hill Ward
507,Queen's Gate Gardens,1595000,Flat / Apartment,1170,2,2,2,Kensington,London,SW7 5RR,SW7 5RR,,Kensington and Chelsea London Boro,Queen's Gate Ward
508,United House,499000,New development,690,2,2,2,Mayflower Street,London,SE16 4JL,E16 4JL,,Newham London Boro,Canning Town North Ward
509,Three Riverside,3410000,Penthouse,2852,4,4,4,Riverside Quarter,London,SW18 1PP,S18 1PP,Derbyshire County,North East Derbyshire District,Dronfield Woodhouse Ward
510,Onslow Gardens,6750000,Flat / Apartment,2823,5,5,5,,London,SW7 3QB,SW7 3QB,,Kensington and Chelsea London Boro,Courtfield Ward
511,Ensor Mews,2850000,House,1724,3,3,3,,London,SW7 3BT,SW7 3BT,,Kensington and Chelsea London Boro,Courtfield Ward
512,Roland Gardens,1895000,Flat / Apartment,1474,3,3,3,,London,SW7 3PE,SW7 3PE,,Kensington and Chelsea London Boro,Courtfield Ward
513,Wardo Avenue,1650000,House,1756,4,4,4,Fulham,London,SW6 6RB,SW6 6RB,,Hammersmith and Fulham London Boro,Munster Ward
514,Kinnoul Road,1225000,House,1806,4,4,4,Fulham,London,W6 8NQ,W6  8NQ,,Hammersmith and Fulham London Boro,Fulham Reach Ward
515,Stanlake Road,1100000,House,2145,5,5,5,,London,W12 7HG,W12 7HG,,Hammersmith and Fulham London Boro,Shepherd's Bush Green Ward
516,Spencer Hill,1095000,House,950,2,2,2,Wimbledon,London,SW19 4PA,SW194PA,,Merton London Boro,Hillside Ward
517,Kingston Hill,2395000,House,3498,5,5,5,Kingston upon Thames,Surrey,KT2 7LN,KT2 7LN,,Kingston upon Thames London Boro,Coombe Hill Ward
518,Upton Court,550000,Flat / Apartment,904,2,2,2, Wimbledon,London,SW20 8JB,S20 8JB,,Sheffield District (B),Mosborough Ward
519,Earlsfield Road,1500000,House,2583,5,5,5, Wandsworth,London,SW18 3DA,S18 3DA,Derbyshire County,North East Derbyshire District,Dronfield North Ward
520,Dempster Road,750000,Flat / Apartment,911,2,2,2, Wandsworth,London,SW18 1AS,SW181AS,,Wandsworth London Boro,Fairfield Ward
521,Atheldene Road,1150000,House,1822,5,5,5, Wandsworth,London,SW18 3BN,S18 3BN,Derbyshire County,North East Derbyshire District,Coal Aston Ward
522,Townshend Court,665000,Flat / Apartment,647,2,2,2,Shannon Place,London,NW8 7DP,NW8 7DP,,City of Westminster London Boro,Regent's Park Ward
523,Hamilton Terrace,1250000,Flat / Apartment,1036,2,2,2,St. John's Wood,London,NW8 9UJ,NW8 9UJ,,City of Westminster London Boro,Regent's Park Ward
524,St. Johns Road,1895000,House,2564,5,5,5,Richmond,Surrey,TW9 2PE,TW9 2PE,,Richmond upon Thames London Boro,North Richmond Ward
525,James House,600000,Flat / Apartment,632,2,2,2,70 Webb's Road,London,SW11 6SE,SW116SE,,Wandsworth London Boro,Northcote Ward
526,Broomwood Road,700000,Flat / Apartment,946,2,2,2,,London,SW11 6JX,SW116JX,,Wandsworth London Boro,Balham Ward
527,Bolingbroke Grove,2450000,House,3020,6,6,6,Clapham,London,SW11 6ES,SW116ES,,Wandsworth London Boro,Balham Ward
528,Lowndes Square,1750000,Flat / Apartment,853,2,2,2,,London,SW1X 9HA,SW1X9HA,,City of Westminster London Boro,Knightsbridge and Belgravia Ward
529,Eagle Wharf Road,895000,New development,1033,3,3,3,Islington,London,N1 7EG,BN1 7EG,,The City of Brighton and Hove (B),Hollingdean and Stanmer Ward
530,Youngs Court,1000000,Flat / Apartment,884,1,1,1, Hampstead,London,NW3 1DD,NW3 1DD,,Camden London Boro,Hampstead Town Ward
531,Moore Park Road,2300000,House,2124,4,4,4,Fulham,London,SW6 2HH,SW6 2HH,,Hammersmith and Fulham London Boro,Parsons Green and Walham Ward
532,Montpellier Road,375000,Flat / Apartment,444,1,1,1,Ealing,London,W5 2QS,NW5 2QS,,Camden London Boro,Kentish Town Ward
533,Esher Place Avenue,2150000,House,3177,5,5,5,Esher,Surrey,KT10 8PY,KT108PY,Surrey County,Elmbridge District (B),Esher Ward
534,Common Road,785000,New development,1474,3,3,3, Esher,Surrey,KT10 0HG,KT100HG,Surrey County,Elmbridge District (B),Claygate Ward
535,Bolander Grove,725000,New development,591,1,1,1,,London,SW6 1EY,SW6 1EY,,Hammersmith and Fulham London Boro,Fulham Broadway Ward
536,Sheen Road,2850000,House,5130,7,7,7,Richmond,Surrey,TW10 5AL,TW105AL,,Richmond upon Thames London Boro,North Richmond Ward
537,Birds Hill Drive,5950000,New development,11716,6,6,6,Oxshott,Surrey,KT22 0SW,KT220SW,Surrey County,Elmbridge District (B),Oxshott & Stoke D'Abernon Ward
538,Ashley Gardens,985000,Flat / Apartment,1140,2,2,2,Thirleby Road,London,SW1P 1HN,SW1P1HN,,City of Westminster London Boro,Vincent Square Ward
539,St. Ann's Crescent,585000,Flat / Apartment,795,2,2,2,,London,SW18 2ND,SW182ND,,Wandsworth London Boro,Fairfield Ward
540,Herndon Road,995000,House,1993,5,5,5,Wandsworth,London,SW18 2DG,S18 2DG,Derbyshire County,North East Derbyshire District,Dronfield North Ward
541,Claremont Court,550000,Flat / Apartment,666,2,2,2, Shoreditch,London,E2 6DE,E12 6DE,,Newham London Boro,Little Ilford Ward
542,Eaton Square,7300000,Flat / Apartment,2230,3,3,3,Belgravia,London,SW1W 9DH,SW1W9DH,,City of Westminster London Boro,Knightsbridge and Belgravia Ward
543,Elsworthy Terrace,1250000,Flat / Apartment,885,2,2,2,Primrose Hill,London,NW3 3DR,NW3 3DR,,Camden London Boro,Swiss Cottage Ward
544,Radnor Mews,3750000,House,2396,4,4,4,Hyde Park Estate,London,W2 2SA,NW2 2SA,,Barnet London Boro,Childs Hill Ward
545,Thornton Place,430000,Studio,514,1,1,1,Clapham Common North Side,London,SW4 0AB,SW4 0AB,,Lambeth London Boro,Clapham Town Ward
546,Thornton Place,830000,Flat / Apartment,891,2,2,2,Clapham Common North Side,London,SW4 0AB,SW4 0AB,,Lambeth London Boro,Clapham Town Ward
547,Pearson Square,1100000,Flat / Apartment,635,1,1,1,Fitzrovia,London,W1T 3BJ,W1T 3BJ,,City of Westminster London Boro,West End Ward
548,John Adam Street,3100000,New development,1410,3,3,3,Covent Garden,London,WC2N 6LU,WC2N6LU,,City of Westminster London Boro,St. James's Ward
549,Vicarage Gate,925000,Flat / Apartment,706,1,1,1,,London,W8 4HH,CW8 4HH,,Cheshire West and Chester (B),Marbury Ward
550,Pyrland Road,2650000,House,3319,6,6,6,Highbury,London,N5 2JA,EN5 2JA,,Barnet London Boro,Underhill Ward
551,Elwood House,450000,Flat / Apartment,569,2,2,2,Hurlock Street,London,N5 1EU,EN5 1EU,,Barnet London Boro,Oakleigh Ward
552,Dalston Square,650000,Flat / Apartment,720,2,2,2,Hackney,London,E8 3GT,E8  3GT,,Hackney London Boro,Dalston Ward
553,Lyncroft Mansions,799950,Flat / Apartment,956,2,2,2, West Hampstead,London,NW6 1JY,NW6 1JY,,Camden London Boro,Fortune Green Ward
554,Chelsea Vista,1250000,Penthouse,1209,2,2,2, Fulham,London,SW6 2SD,SW6 2SD,,Hammersmith and Fulham London Boro,Sands End Ward
555,Ashburnham Park,2995000,House,5614,6,6,6,Esher,Surrey,KT10 9TW,KT109TW,Surrey County,Elmbridge District (B),Esher Ward
556,Claremont Drive,2250000,House,3661,4,4,4,Esher,Surrey,KT10 9LU,KT109LU,Surrey County,Elmbridge District (B),Esher Ward
