Unnamed: 0,Property Name,Price,House Type,Area in sq ft,No. of Bedrooms,No. of Bathrooms,No. of Receptions,Location,City/County,Postal Code,OS compliant Postcode,Admin_county_code,Admin_district_code,Admin_ward_code
42,Prince Of Wales Mansions,550000,Flat / Apartment,670,1,1,1,,London,SW11 4BG,SW114BG,,Wandsworth London Boro,Queenstown Ward
43,Old Battersea House,9975000,House,10100,10,10,10, Battersea,London,SW11 3LD,SW113LD,,Wandsworth London Boro,St. Mary's Park Ward
44,Kersley Street,1850000,House,1910,5,5,5,,London,SW11 4PT,SW114PT,,Wandsworth London Boro,Latchmere Ward
45,Battersea Bridge Road,525000,New development,590,1,1,1,,London,SW11 3AU,SW113AU,,Wandsworth London Boro,St. Mary's Park Ward
46,Larkhall Rise,2200000,House,2239,4,4,4,,London,SW4 6HS,SW4 6HS,,Lambeth London Boro,Clapham Town Ward
47,Ashley Park Avenue,3450000,House,5599,6,6,6,Walton-on-Thames,Surrey,KT12 1EU,KT1 1EU,,Kingston upon Thames London Boro,Grove Ward
48,Carlisle Mansions,1999999,Flat / Apartment,1608,3,3,3, Victoria,London,SW1P 1EZ,SW1P1EZ,,City of Westminster London Boro,Vincent Square Ward
49,Park Close,725000,House,884,3,3,3,South Hackney,London,E9 7LF,E9  7LF,,Hackney London Boro,Victoria Ward
50,Century Court,1750000,Flat / Apartment,1232,2,2,2,Grove End Road,London,NW8 9LD,NW8 9LD,,City of Westminster London Boro,Regent's Park Ward
51,Eaton Square,5250000,Flat / Apartment,2299,3,3,3,,London,SW1W 9DF,SW1W9DF,,City of Westminster London Boro,Knightsbridge and Belgravia Ward
52,Hornsey Town Hall,1250000,New development,1307,3,3,3,Crouch End,London,N8 9JJ,EN8 9JJ,Hertfordshire County,Broxbourne District (B),Cheshunt North Ward
53,"The oTTo, Hackney",490000,New development,570,1,1,1, Downs Road,Clapton,E5 8DS,E5  8DS,,Hackney London Boro,Hackney Downs Ward
54,Francis House,3350000,Penthouse,2185,3,3,3,Coleridge Gardens,London,SW10 0RP,SW100RP,,Kensington and Chelsea London Boro,Stanley Ward
55,Wendle Square,1000000,Flat / Apartment,1228,3,3,3,Battersea,London,SW11 4SS,SW114SS,,Wandsworth London Boro,St. Mary's Park Ward
56,Rectory Road,2350000,House,2511,4,4,4,Barnes,London,SW13 0DX,SW130DX,,Richmond upon Thames London Boro,Barnes Ward
57,Thames Quay,2095000,Flat / Apartment,1528,3,3,3,Chelsea Harbour,London,SW10 0UY,SW100UY,,Hammersmith and Fulham London Boro,Sands End Ward
58,Prince Edward Mansions,1250000,Flat / Apartment,811,2,2,2, Bayswater,London,W2 4WA,W2  4WA,,City of Westminster London Boro,Lancaster Gate Ward
59,Harbut Road,735000,Flat / Apartment,969,2,2,2,,London,SW11 2RE,SW112RE,,Wandsworth London Boro,Fairfield Ward
60,Chasefield Road,875000,House,1132,4,4,4,Tooting,London,SW17 8LW,SW178LW,,Wandsworth London Boro,Graveney Ward
61,Fernwood Avenue,1250000,House,2498,6,6,6,,London,SW16 1RD,SW161RD,,Lambeth London Boro,St. Leonard's Ward
62,Havilland Mews,595000,Flat / Apartment,643,2,2,2,,London,W12 8BG,W12 8BG,,Hammersmith and Fulham London Boro,Askew Ward
63,Hampermill Lane,1675000,House,5022,3,3,3,Watford,Hertfordshire,WD19 4PL,WD194PL,Hertfordshire County,Three Rivers District,Oxhey Hall & Hayling Ward
64,Gatehill Road,2595000,House,4858,6,6,6,Northwood,Middlesex,HA6 3QF,HA6 3QF,,Hillingdon London Boro,Northwood Hills Ward
65,St. Davids Mews,820000,House,974,3,3,3,Morgan Street,London,E3 5AZ,E3  5AZ,,Tower Hamlets London Boro,Bow West Ward
66,Chester Close South,830000,Flat / Apartment,850,2,2,2,Regent's Park,London,NW1 4JG,NW1 4JG,,Camden London Boro,Regent's Park Ward
67,Lady Somerset Road,500000,Flat / Apartment,458,1,1,1,Kentish Town,London,NW5 1TX,NW5 1TX,,Camden London Boro,Kentish Town Ward
68,Nicholas Way,2500000,House,5999,7,7,7,Northwood,Middlesex,HA6 2TR,HA6 2TR,,Hillingdon London Boro,Northwood Ward
69,Queens Grove,7500000,House,3851,6,6,6,St John's Wood,London,NW8 6EN,NW8 6EN,,City of Westminster London Boro,Abbey Road Ward
70,Enmore Road,749950,Flat / Apartment,1382,3,3,3,Putney,London,SW15 6LL,SW156LL,,Wandsworth London Boro,West Putney Ward
71,The Chase,480000,Flat / Apartment,448,1,1,1,,London,SW4 0NP,SW4 0NP,,Lambeth London Boro,Clapham Town Ward
72,Weymouth Mews,3500000,House,1763,4,4,4,Marylebone,London,W1G 7EB,W1G 7EB,,City of Westminster London Boro,Marylebone High Street Ward
73,Portland Place,2100000,Flat / Apartment,1208,3,3,3,Marylebone,London,W1B 1NX,W1B 1NX,,City of Westminster London Boro,Marylebone High Street Ward
74,Ternary Place,650000,New development,1023,2,2,2, Ealing,London,W5 3HJ,W5  3HJ,,Ealing London Boro,Hanger Hill Ward
75,Weston Park,1050000,House,1693,4,4,4,Thames Ditton,Surrey,KT7 0HQ,KT7 0HQ,Surrey County,Elmbridge District (B),Hinchley Wood & Weston Green Ward
76,Lysias Road,1300000,House,1890,5,5,5,,London,SW12 8BW,SW128BW,,Wandsworth London Boro,Balham Ward
77,Prince Henry Road,625000,House,1348,4,4,4,Kidbrooke,London,SE7 8PP,SE7 8PP,,Greenwich London Boro,Kidbrooke with Hornfair Ward
78,Kirby Street,625000,Flat / Apartment,540,1,1,1,Clerkenwell,London,EC1N 8TE,EC1N8TE,,Camden London Boro,Holborn and Covent Garden Ward
79,Great Peter Street,1100000,New development,791,2,2,2,Westminster,London,SW1P 2BN,SW1P2BN,,City of Westminster London Boro,St. James's Ward
80,Walton Street,5950000,House,2646,4,4,4,,London,SW3 1RE,SW3 1RE,,Kensington and Chelsea London Boro,Brompton & Hans Town Ward
81,Chatto Road,1325000,House,1375,4,4,4,,London,SW11 6LL,SW116LL,,Wandsworth London Boro,Northcote Ward
82,Redcliffe Square,1250000,Flat / Apartment,1068,2,2,2,,London,SW10 9JY,SW109JY,,Kensington and Chelsea London Boro,Redcliffe Ward
83,Elm Park Lane,2300000,House,1119,3,3,3,,London,SW3 6DB,SW3 6DB,,Kensington and Chelsea London Boro,Stanley Ward
84,Fassett Square,1500000,House,1811,4,4,4,Hackney,London,E8 1DQ,E18 1DQ,,Redbridge London Boro,Churchfields Ward
85,Haverhill Road,1350000,House,1603,5,5,5,,London,SW12 0HD,SW120HD,,Lambeth London Boro,Thornton Ward
86,Duckman Tower,799995,Flat / Apartment,942,3,3,3, Canary Wharf,London,E14 9BL,E14 9BL,,Tower Hamlets London Boro,Canary Wharf Ward
87,St. Stephens Crescent,795000,Flat / Apartment,495,1,1,1,,London,W2 5QT,CW2 5QT,,Cheshire East (B),Wybunbury Ward
88,West Grove,525000,House,829,2,2,2,Woodford Green,Essex,IG8 7NP,IG8 7NP,,Redbridge London Boro,Bridge Ward
89,Ackmar Road,2595000,House,2120,5,5,5,Fulham,London,SW6 4UP,SW6 4UP,,Hammersmith and Fulham London Boro,Parsons Green and Walham Ward
90,Romney House,820000,Flat / Apartment,631,2,2,2, Westminster,London,SW1P 3DS,SW1P3DS,,City of Westminster London Boro,St. James's Ward
91,Seymour Gardens,1200000,House,2108,4,4,4,Surbiton,Surrey,KT5 8QE,KT5 8QE,,Kingston upon Thames London Boro,Berrylands Ward
92,Sycamore Gardens,680000,Flat / Apartment,705,2,2,2,,London,W6 0AP,CW6 0AP,,Cheshire West and Chester (B),Tarporley Ward
93,Quarrendon Street,2300000,House,1956,3,3,3,,London,SW6 3SU,SW6 3SU,,Hammersmith and Fulham London Boro,Parsons Green and Walham Ward
94,Meredyth Road,2300000,House,2083,5,5,5,Barnes,London,SW13 0DS,SW130DS,,Richmond upon Thames London Boro,Barnes Ward
95,Baronsmead Road,4000000,House,3714,5,5,5,Barnes,London,SW13 9RR,SW139RR,,Richmond upon Thames London Boro,Barnes Ward
96,Sisters Avenue,500000,Flat / Apartment,516,2,2,2,,London,SW11 5SQ,SW115SQ,,Wandsworth London Boro,Shaftesbury Ward
97,Warrington Gardens,1275000,Flat / Apartment,1185,3,3,3,Little Venice,London,W9 2PZ,W9  2PZ,,City of Westminster London Boro,Little Venice Ward
98,Pembroke Villas,4500000,House,2972,3,3,3,,London,W8 6PG,NW8 6PG,,City of Westminster London Boro,Abbey Road Ward
99,North End Road,1750000,House,2125,4,4,4,Hampstead,London,NW11 7SY,NW1 7SY,,Camden London Boro,Camden Town with Primrose Hill Ward
100,Heath Hurst Road,2600000,House,2350,4,4,4,Hampstead,London,NW3 2RU,NW3 2RU,,Camden London Boro,Hampstead Town Ward
101,Tercelet Terrace,3450000,House,2354,4,4,4, Hampstead,London,NW3 7LW,NW3 7LW,,Camden London Boro,Frognal and Fitzjohns Ward
102,Kersley Street,2350000,House,2183,5,5,5,,London,SW11 4PR,SW114PR,,Wandsworth London Boro,St. Mary's Park Ward
103,Buckingham Gate,2375000,Flat / Apartment,1218,2,2,2,St. James's,London,SW1E 6LB,SW1E6LB,,City of Westminster London Boro,St. James's Ward
104,Camelot Close,1995000,House,1841,5,5,5,Wimbledon,London,SW19 7EA,SW197EA,,Merton London Boro,Wimbledon Park Ward
105,Clarendon Close,1000000,House,1154,4,4,4,South Hackney,London,E9 7BY,E9  7BY,,Hackney London Boro,Victoria Ward
106,Klea Avenue,1795000,House,2314,5,5,5,,London,SW4 9HG,SW4 9HG,,Lambeth London Boro,Clapham Common Ward
107,Manor Place Depot,687500,New development,1178,3,3,3,,London,SE17 3BD,E17 3BD,,Waltham Forest London Boro,Hoe Street Ward
108,Molyneux Street,2450000,House,1483,3,3,3,,London,W1H 5HW,W1H 5HW,,City of Westminster London Boro,Bryanston and Dorset Square Ward
109,Gatti House,3500000,Flat / Apartment,1770,2,2,2,410 Strand,London,WC2R 0NR,WC2R0NR,,City of Westminster London Boro,St. James's Ward
110,Stanmore Way,1225000,New development,2487,5,5,5,Loughton,Essex,IG10 2SA,IG1 2SA,,Redbridge London Boro,Loxford Ward
111,Thornhill Crescent,850000,Flat / Apartment,773,2,2,2,Barnsbury,London,N1 1BJ,DN1 1BJ,,Doncaster District (B),Town Ward
112,Belsize Square,780000,Flat / Apartment,654,2,2,2,,London,NW3 4HL,NW3 4HL,,Camden London Boro,Belsize Ward
113,Ditton Grove,399950,New development,697,2,2,2,Esher,Surrey,KT10 9FN,KT1 9FN,,Kingston upon Thames London Boro,Norbiton Ward
114,Sylvan Gardens,1499950,House,2982,5,5,5,Surbiton,Surrey,KT6 6PP,KT6 6PP,,Kingston upon Thames London Boro,Surbiton Hill Ward
115,Milton Road,900000,House,1081,3,3,3,,London,SW14 8JP,SW148JP,,Richmond upon Thames London Boro,East Sheen Ward
116,Drakefield Road,2500000,House,3986,6,6,6,,London,SW17 8RR,SW178RR,,Wandsworth London Boro,Bedford Ward
117,Chiswick High Road,575000,Flat / Apartment,773,2,2,2,Chiswick,London,W4 4AG,NW4 4AG,,Barnet London Boro,Hendon Ward
118,Bewick Street,1250000,House,1708,5,5,5,,London,SW8 3TA,SW8 3TA,,Wandsworth London Boro,Queenstown Ward
119,Overstrand Mansions,1575000,Flat / Apartment,1580,3,3,3,Prince of Wales Drive,London,SW11 4EZ,SW114EZ,,Wandsworth London Boro,Queenstown Ward
120,Somerset Road,4750000,House,6602,6,6,6,Wimbledon,London,SW19 5JZ,SW195JZ,,Merton London Boro,Village Ward
121,Burleigh Place,1175000,House,1909,4,4,4,Putney,London,SW15 6ES,SW156ES,,Wandsworth London Boro,East Putney Ward
122,Smarts Lane,695000,House,1337,3,3,3,Loughton,Essex,IG10 4BU,IG1 4BU,,Redbridge London Boro,Ilford Town Ward
123,Freshford Street,1200000,House,1771,4,4,4,,London,SW18 3TF,SW183TF,,Wandsworth London Boro,Earlsfield Ward
124,Ellerton Road,1700000,House,2374,5,5,5,Wandsworth,London,SW18 3NH,SW183NH,,Wandsworth London Boro,Wandsworth Common Ward
